layer,ratio,roi_mean,outside_mean,method,status
conv5_block3_3_conv,1.1266789462774531,0.2039659470319748,0.18103288114070892,Grad-CAM fallback,LOW
conv5_block2_3_conv,0.5759377721963199,0.094441719353199,0.16397902369499207,Grad-CAM fallback,LOW
conv5_block1_3_conv,0.24871531921344203,0.08585011959075928,0.34517422318458557,Grad-CAM fallback,LOW
conv4_block6_3_conv,0.5172070760791144,0.058667100965976715,0.11343057453632355,Grad-CAM fallback,LOW
conv4_block3_3_conv,0.7158839088565715,0.14353951811790466,0.20050668716430664,Grad-CAM fallback,LOW
conv3_block4_3_conv,0.057237220898664155,0.0022847563959658146,0.03991730883717537,Grad-CAM fallback,LOW
