,MMSE,nWBV,Age,EDUC,eTIV,ASF,y
MMSE,1.0,0.341315286375463,0.05584760549192303,0.19615862840215315,-0.028163407404413865,0.035034499352314785,-0.5959774043201148
nWBV,0.341315286375463,1.0,-0.5183592085418558,-0.012199637236751298,-0.21012182263750817,0.21347614013305385,-0.31396286298197396
Age,0.05584760549192303,-0.5183592085418558,1.0,-0.027885829460688412,0.04234841798968296,-0.03506672491504503,-0.04417542546565447
EDUC,0.19615862840215315,-0.012199637236751298,-0.027885829460688412,1.0,0.25701506151777737,-0.24175200599214028,-0.23656009152954208
eTIV,-0.028163407404413865,-0.21012182263750817,0.04234841798968296,0.25701506151777737,1.0,-0.9888765232836364,-0.028052167423212485
ASF,0.035034499352314785,0.21347614013305385,-0.03506672491504503,-0.24175200599214028,-0.9888765232836364,1.0,0.02155718186073783
y,-0.5959774043201148,-0.31396286298197396,-0.04417542546565447,-0.23656009152954208,-0.028052167423212485,0.02155718186073783,1.0
